"","species","stock","brood.yr","spawners","recruits","lat","long","region","entry.yr","era","sst1","sst2","sst3"
"1","Pink","Puyallup.O",1961,10000,115311,47.26972,122.4272,"South",1962,"1",0.184316966,0.184316966,-0.149858722
"2","Pink","Puyallup.O",1963,10221,35628,47.26972,122.4272,"South",1964,"1",-0.164219755,-0.164219755,-0.843288029
"3","Pink","Puyallup.O",1965,25131,40277,47.26972,122.4272,"South",1966,"1",-0.205680589,-0.205680589,-0.26867537
"4","Pink","Puyallup.O",1967,22038,22868,47.26972,122.4272,"South",1968,"1",-0.465343538,-0.465343538,-0.518066678
"5","Pink","Puyallup.O",1969,16003,63066,47.26972,122.4272,"South",1970,"1",-0.760883389,-0.760883389,-0.815940553
"6","Pink","Puyallup.O",1971,40000,31597,47.26972,122.4272,"South",1972,"1",-1.10716948,-1.10716948,-0.71051398
"7","Pink","Puyallup.O",1973,12194,35512,47.26972,122.4272,"South",1974,"1",-0.861185326,-0.861185326,-0.706882612
"8","Pink","Puyallup.O",1975,11800,55191,47.26972,122.4272,"South",1976,"1",-0.803182358,-0.803182358,-0.991186865
"9","Pink","Puyallup.O",1977,29429,102377,47.26972,122.4272,"South",1978,"1",0.438541205,0.438541205,0.453151117
"10","Pink","Puyallup.O",1979,29481,34017,47.26972,122.4272,"South",1980,"1",-0.161533157,-0.161533157,0.232422858
"11","Pink","Puyallup.O",1981,12115,25341,47.26972,122.4272,"South",1982,"1",-0.562464556,-0.562464556,-0.763005918
"12","Pink","Puyallup.O",1983,11600,53773,47.26972,122.4272,"South",1984,"1",-0.278588943,-0.278588943,-0.588589932
"13","Pink","Puyallup.O",1985,34100,45780,47.26972,122.4272,"South",1986,"1",-0.413884484,-0.413884484,-0.087986031
"14","Pink","Puyallup.O",1987,34400,108869,47.26972,122.4272,"South",1988,"1",-0.416859415,-0.416859415,-0.028778988
"15","Pink","Puyallup.O",1989,49850,23354,47.26972,122.4272,"South",1990,"2",0.357217159,0.357217159,0.427072142
